Variable	Description	Units	FluxData
IDrecord	id of the record	none	Level 4
Location	location 	none	Level 4
Date	date in format 	none	Level 4
Year	year as integer	none	Level 4
Day	day of the month	none	Level 4
Month	from 1 to 12	none	Level 4
Hour	from 0 to 23.5, indicates the end of the half hour of measurement 	none	Level 4
DoY	decimal day of the year	none	Level 4
NEE_st	Net Ecosystem Exchange standardized -  calculated using the storage obtained with the discrete approach (single point on the top of the tower) with the same method for all the sites	[umolCO2 m-2 s-1]	Level 3
NEE_st_qf	fluxes quality flags (see below)		Level 3
NEE_or	Net Ecosystem Exchange original -  calculated using the storage sent by the PI that can be obtained with the discrete approach or using the profile system (see others information below)	 [umolCO2 m-2 s-1]	Level 3
NEE_or_qf	fluxes quality flags as defined in the Level3 product (see below)		Level 3
Reco_st	Estimated ecosystem respiration according to the short-term temperature response of night-time fluxes based on NEE_st (Refer to Reichstein et al. 2005 Global Change Biology for more information)	[umolCO2 m-2 s-1]	Level 4
Reco_or 	Estimated ecosystem respiration according to the short-term temperature response of night-time fluxes based on NEE_or (Refer to Reichstein et al. 2005 Global Change Biology for more information)	[umolCO2 m-2 s-1]	Level 4
NEE_st_fMDS	NEE_st (see below) filled using the Marginal Distribution Sampling method (Refer to Reichstein et al. 2005 Global Change Biology for more information)	[umolCO2 m-2 s-1]	Level 4
NEE_st_fMDS_qc	NEE_st_fMDS quality flags: 0 = original, 1 = category A (most reliable), 2 = category B (medium), 3 = category C (least reliable). (Refer to Reichstein et al. 2005 Global Change Biology for more information)		Level 4
NEE_or_fMDS	NEE_or (see below) filled using the Marginal Distribution Sampling method (Refer to Reichstein et al. 2005 Global Change Biology for more information)	[umolCO2 m-2 s-1]	Level 4
NEE_or_fMDS_qc	NEE_or_fMDS quality flags: 0 = original, 1 = category A (most reliable), 2 = category B (medium), 3 = category C (least reliable). (Refer to Reichstein et al. 2005 Global Change Biology for more information)		Level 4
NEE_st_fANN	NEE_st (see below) filled using the Artificial Neural Network method (Refer to Papale et al. 2003 Global Change Biology for more information and to the Other Information section in this document)	[umolCO2 m-2 s-1]	Level 4
NEE_st_fANN_qc	NEE_st_fANN quality flags: 0 = original, 1 = filled using original meteorological inputs or filled with qc=1, 2 = filled using filled meteorological inputs with qc=2 or 3, 3 = not filled using ANN due to one or more input missed but filled with the MDS method 		Level 4
NEE_or_fANN	NEE_or (see below) filled using the Artificial Neural Network method (Refer to Papale et al. 2003 Global Change Biology for more information and to the Other Information section in this document)	[umolCO2 m-2 s-1]	Level 4
NEE_or_fANN_qc	NEE_or_fANN quality flags: 0 = original, 1 = filled using original meteorological inputs or filled with qc=1, 2 = filled using filled meteorological inputs with qc=2 or 3, 3 = not filled using ANN due to one or more input missed but filled with the MDS method		Level 4
GPP_st_MDS	gross primary production based on NEE_st filled with the Marginal Distribution Sampling method	[gC m-2 day-1]	Level 4
GPP_or_MDS	gross primary production based on NEE_st filled with the Marginal Distribution Sampling method	[gC m-2 day-1]	Level 4
GPP_st_ANN	gross primary production based on NEE_st filled with the Artificial Neural Network method	[gC m-2 day-1]	Level 4
GPP_or_ANN	gross primary production based on NEE_st filled with the Artificial Neural Network method	[gC m-2 day-1]	Level 4
CO2	carbon dioxide concentration measured at top of the tower	[umol/mol]	Level 3 
H2O	water vapour concentration measured at top of the tower	[mmol/mol]	Level 3 
ZL	atmosphere stability parameter		Level 3 
Fc	carbon dioxide flux	[umolCO2 m-2 s-1]	Level 3 
Fc_qf	fluxes quality flags (see below)		Level 3 
